Accel_X_mean,Accel_X_std,Accel_X_median,Accel_Y_mean,Accel_Y_std,Accel_Y_median,Accel_Z_mean,Accel_Z_std,Accel_Z_median,Gyro_X_mean,Gyro_X_std,Gyro_X_median,Gyro_Y_mean,Gyro_Y_std,Gyro_Y_median,Gyro_Z_mean,Gyro_Z_std,Gyro_Z_median,syllable_count,Label
0.552698413,0.058046163,0.54,-0.277433862,0.119856356,-0.24,0.783042328,0.073224362,0.8,0.293571429,48.32969279,1.04,-0.993624339,15.68728299,0.205,0.27542328,30.56104268,0.315,3,PickUpCall
0.555514512,0.053283078,0.55,-0.292005277,0.110401815,-0.26,0.775725594,0.062928435,0.79,-1.20292876,44.27119881,3.76,-1.139868074,13.08011772,-0.79,0.704775726,31.19437088,-1.08,3,PickUpCall
0.564842105,0.049490558,0.55,-0.248289474,0.104133416,-0.22,0.786078947,0.053860409,0.8,0.199263158,39.78751784,1.185,-0.559026316,12.96008228,0.23,-0.351947368,26.92385969,0.09,3,PickUpCall
0.553915344,0.054597765,0.54,-0.278994709,0.133680981,-0.25,0.780740741,0.064384303,0.8,-0.765502646,49.87064224,4.01,-0.859232804,14.72164767,-1.205,0.54952381,32.63832993,-1.165,3,PickUpCall
0.557467018,0.046255797,0.55,-0.283931398,0.127715398,-0.24,0.775382586,0.056951189,0.79,-0.864960422,47.44889351,3.59,-0.323456464,13.00886488,0.06,0.330237467,31.60186215,-0.61,3,PickUpCall
0.561477573,0.053678756,0.55,-0.257440633,0.116210189,-0.23,0.78469657,0.061412822,0.79,-0.256833773,45.89100687,1.97,-0.91701847,14.55790061,-0.29,-0.203509235,30.32246442,0.03,3,PickUpCall
0.562169312,0.061130403,0.55,-0.273624339,0.132538315,-0.24,0.776825397,0.0727189,0.79,-0.383624339,53.77371196,5.07,-1.015529101,14.53976555,-0.6,0.299973545,34.43361324,-0.635,3,PickUpCall
0.564105263,0.058661315,0.56,-0.282947368,0.121317514,-0.25,0.775578947,0.074149045,0.79,0.831105263,48.12265032,-1.145,-1.184789474,13.73414925,-1.81,-0.151578947,31.40295409,2.105,4,PickUpCall
0.562380952,0.04491835,0.56,-0.28989418,0.100238387,-0.26,0.774867725,0.051770853,0.78,1.193835979,40.96053203,1.78,-0.863095238,11.96769951,-1.04,-0.49973545,26.67232156,0.435,3,PickUpCall
0.526152344,0.040056714,0.52,-0.292207031,0.061172594,-0.3,0.7984375,0.0519587,0.8,0.333535156,15.22772829,0.265,-0.853085938,8.701220186,-0.43,0.429355469,11.79950675,0.29,1,end
0.532257218,0.035118551,0.52,-0.282519685,0.050819109,-0.29,0.796089239,0.038949122,0.8,0.837007874,17.05063447,1.07,-1.24351706,8.154331378,-0.78,0.092467192,11.78558701,0.17,1,end
0.540290237,0.027481022,0.53,-0.272849604,0.045597805,-0.26,0.796569921,0.031054692,0.8,0.123324538,19.03417014,0.12,-0.974643799,6.27389334,-0.66,0.247229551,12.18454418,0.55,2,end
0.530897098,0.035623508,0.52,-0.282796834,0.055497637,-0.27,0.798707124,0.043530276,0.81,0.382480211,21.17091153,0.78,-0.832348285,8.316636354,-0.69,0.186437995,14.74691017,0.27,1,end
0.533858268,0.037318979,0.53,-0.269133858,0.047914787,-0.27,0.801469816,0.044050715,0.81,0.264619423,26.01845995,0.7,-0.999553806,9.132831553,-0.52,0.477874016,15.72096671,0.96,1,end
0.537598945,0.030753975,0.53,-0.26591029,0.051309852,-0.26,0.800211082,0.035027696,0.81,0.446147757,16.39161046,1.04,-1.036200528,7.466972487,-0.69,0.053562005,11.11816399,0.67,2,end
0.537078947,0.029519352,0.53,-0.241815789,0.055870353,-0.24,0.806842105,0.037148015,0.815,0.888552632,21.83949317,-0.055,-1.065605263,6.939910191,-0.8,-0.145815789,11.76366817,0.83,1,end
0.537857143,0.033927848,0.53,-0.240608466,0.053442749,-0.23,0.806349206,0.042016856,0.82,0.45494709,24.61349792,0.94,-0.962354497,6.588026194,-0.635,0.232777778,16.24966845,0.2,1,end
0.538337731,0.035673889,0.53,-0.230712401,0.053027587,-0.23,0.810211082,0.037655607,0.82,0.796939314,21.75291299,-0.95,-1.01292876,9.413679601,-0.61,-0.224564644,13.20584899,1.02,1,end
0.539313984,0.033254734,0.53,-0.219920844,0.047612235,-0.22,0.811662269,0.039078431,0.82,0.311345646,20.29423751,-0.15,-1.216437995,6.903302923,-0.9,0.296781003,13.66100882,0.67,1,end
0.544815789,0.031104857,0.54,-0.250184211,0.047814701,-0.25,0.800026316,0.034902795,0.81,0.425736842,17.92851368,0.845,-1.093421053,7.996834095,-0.73,-0.222105263,11.86330002,0.345,1,end
0.539155673,0.034477576,0.53,-0.247440633,0.053110084,-0.25,0.803852243,0.039352421,0.81,0.704379947,21.18196868,0.27,-0.794432718,7.959686614,-0.6,-0.11883905,14.61252377,0.82,1,end
